```python
def is_balanced(s: str) -> bool:
    """
    Determine whether the brackets in a string are balanced.

    A string is considered balanced if:
    - Every opening bracket has a corresponding closing bracket of the same type.
    - Brackets are properly nested (i.e., they close in the reverse order they were opened).

    Args:
        s: A string containing only the characters '(', ')', '{', '}', '[', ']'.

    Returns:
        True if the brackets are balanced, False otherwise.

    Examples:
        >>> is_balanced("()")
        True
        >>> is_balanced("([{}])")
        True
        >>> is_balanced("([)]")
        False
    """
    stack = []
    matching = {
        ')': '(',
        '}': '{',
        ']': '['
    }
    opening = {'(', '{', '['}

    for char in s:
        if char in opening:
            stack.append(char)
        elif char in matching:
            if not stack or stack[-1] != matching[char]:
                return False
            stack.pop()
        else:
            # Character is not a bracket, but per problem statement this shouldn't happen
            return False

    return len(stack) == 0
```

[stderr]
phase       detail                      elapsed/progress
load        weights                      0.00%           0 B /      13.64 GiB     0.000 s
load        weights                    100.00%     13.64 GiB /      13.64 GiB     6.429 s
load        engine construction            9.467 s
load        artifact/materialize           8.454 s
load        host to device                 6.429 s
summary     target                    qwen3_8_27b
summary     weights                   groupwise-int
summary     artifact file read        13.65 GiB
summary     weight H2D                13.64 GiB
summary     pinned staging peak       256.00 MiB
summary     tensors/resources         771 / 6
prepare     render/preprocess              0.000 s
generate    vision                         0.000 s
generate    text prefill                   0.252 s
generate    decode                        11.687 s
generate    total                         11.941 s
summary     sampling                  greedy (temperature 0)
summary     finish reason             stop-token
summary     prompt tokens             54
summary     reused prompt tokens      0
summary     generated tokens          291
summary     model elapsed             11.939 s
summary     prefill speed             214.29 tok/s
summary     decode speed              24.81 tok/s
summary     throughput (overall)      24.37 tok/s
summary     device                    0
summary     max context               1024
summary     KV capacity policy        explicit
summary     KV capacity               1024
summary     KV page groups            16 / 16
summary     gpu weights used          13.64 GiB / 13.64 GiB
summary     gpu sequence used         73.53 MiB / 73.53 MiB
summary     kv cache dtype            int8-group64
summary     kv cache payload          33.00 MiB
summary     gpu workspace peak        5.96 MiB / 10.79 MiB
summary     runtime reservation       98.00 MiB
summary     free after weights        1.70 GiB
summary     free after startup        1.62 GiB
summary     KV capacity headroom      0 B
summary     planned slack             1.61 GiB
summary     CUDA Graph memory         2.00 MiB / 12.00 MiB
summary     planned device total      13.73 GiB
