### Plain English Explanation

This regular expression matches a **URL** (or a domain name) that ends with one of three specific top-level domains: `.com`, `.org`, or `.io`.

Here are the specific rules it enforces:
1.  **Protocol is optional:** It can start with `http://` or `https://`, or it can omit the protocol entirely (e.g., `example.com` is valid, `example` is not).
2.  **`www` is optional:** It can include `www.` before the domain name, or it can omit it.
3.  **Domain Name:** The main part of the domain (before the dot) must consist only of **lowercase letters (a-z)**, **digits (0-9)**, and **hyphens (-)**. It cannot contain uppercase letters, underscores, or other symbols.
4.  **Top-Level Domain (TLD):** The domain **must** end with `.com`, `.org`, or `.io`. It will not match `.net`, `.edu`, `.gov`, or any other TLD.
5.  **Path is ignored:** The regex does not capture or validate the path (e.g., `/products/page1`). It allows any path to exist, but it doesn't store it in a group.
6.  **Query String:** If there is a `?`, everything after it (up to a `#` or the end) is captured as the **query string**.
7.  **Fragment:** If there is a `#`, everything after it is captured as the **fragment** (or hash).

---

### Example Strings

#### ✅ Matching String
```text
https://my-site.io/products?color=blue#details
```
**Why it matches:**
- Starts with `https://` (allowed).
- No `www.` (allowed, since it's optional).
- Domain part is `my-site` (only lowercase letters and hyphens — valid).
- TLD is `.io` (one of the allowed TLDs).
- Path `/products` is present (allowed, though not captured).
- Query string `color=blue` is captured.
- Fragment `details` is captured.

#### ❌ Non-Matching String
```text
http://MySite.net/page
```
**Why it does NOT match:**

[stderr]
phase       detail                      elapsed/progress
load        weights                      0.00%           0 B /      13.85 GiB     0.000 s
load        weights                    100.00%     13.85 GiB /      13.85 GiB     8.336 s
load        engine construction           11.492 s
load        artifact/materialize          10.472 s
load        host to device                 8.336 s
summary     target                    qwen3_8_27b
summary     weights                   groupwise-int
summary     artifact file read        13.86 GiB
summary     weight H2D                13.85 GiB
summary     pinned staging peak       256.00 MiB
summary     tensors/resources         783 / 6
prepare     render/preprocess              0.000 s
generate    vision                         0.000 s
generate    text prefill                   0.418 s
generate    decode                        12.525 s
generate    total                         12.945 s
summary     sampling                  greedy (temperature 0)
summary     finish reason             output-limit
summary     prompt tokens             86
summary     reused prompt tokens      0
summary     generated tokens          500
summary     model elapsed             12.944 s
summary     prefill speed             205.64 tok/s
summary     decode speed              39.84 tok/s
summary     throughput (overall)      38.63 tok/s
summary     device                    0
summary     max context               1024
summary     KV capacity policy        explicit
summary     KV capacity               1024
summary     KV page groups            16 / 16
summary     gpu weights used          13.85 GiB / 13.85 GiB
summary     gpu sequence used         77.73 MiB / 77.73 MiB
summary     kv cache dtype            int8-group64
summary     kv cache payload          35.19 MiB
summary     gpu workspace peak        10.79 MiB / 10.79 MiB
summary     runtime reservation       94.00 MiB
summary     free after weights        1.49 GiB
summary     free after startup        1.40 GiB
summary     KV capacity headroom      0 B
summary     planned slack             1.40 GiB
summary     CUDA Graph memory         2.00 MiB / 4.00 MiB
summary     planned device total      13.94 GiB
summary     mtp draft window          3
summary     mtp rounds                165
summary     mtp fallback steps        0
summary     mtp drafted tokens        495
summary     mtp accepted tokens       334
summary     mtp acceptance rate       67.47%
summary     mtp acceptance length     3.02 tok/round
summary     mtp accepted by pos       140,108,86
